networkid,i,j,positive_1,negative_1,imbal_1,p_r_1,n_r_1,rand_imbal_1,positive_2,negative_2,total_positive_2,total_negative_2,imbal_2,p_r_2,n_r_2,rand_imbal_2,positive_3,negative_3,total_positive_3,total_negative_3,imbal_3,p_r_3,n_r_3,rand_imbal_3
1,1,1,0,0,0,0,0,0,2,1,2,1,0.666666666666667,2.32,1.14,0.264419191919192,3,3,5,4,0.555555555555556,7.09,4.82,0.421095501270888,
1,1,2,2,0,0,0.9,0.2,0.09,1,1,3,1,0.5,2.09,1.1,0.272272005772006,2,2,5,3,0.535714285714286,4.29,2.55,0.286841565469275,
1,1,3,0,1,0,0.65,0.23,0.116666666666667,2,2,2,3,0.6,2.21,1.15,0.263595238095238,1,1,3,4,0.571428571428571,5.07,3.13,0.320529523309725,
1,1,4,1,0,0,0.73,0.23,0.0866666666666667,4,2,5,2,0.476190476190476,2.04,1.08,0.233095238095238,6,7,11,9,0.521052631578947,4.54,3.07,0.310827772669782,
1,1,5,1,0,0,0.84,0.13,0.0466666666666667,1,2,2,2,0.666666666666667,2.37,1.15,0.255174603174603,6,6,8,8,0.533333333333333,5.03,3.42,0.334373270394693,
1,2,1,1,0,0,0.65,0.2,0.0633333333333333,1,1,2,1,0.666666666666667,2.33,1.04,0.230785714285714,0,0,2,1,0.666666666666667,4.67,2.63,0.28783270341037,
1,2,2,0,0,0,0,0,0,4,1,4,1,0.4,2.56,1.31,0.294417103364472,5,5,9,6,0.514285714285714,8.04,5.5,0.415315302209494,
1,2,3,1,1,1,0.75,0.2,0.09,0,1,1,3,0.5,2.11,1.26,0.27409213009213,0,0,1,2,0.666666666666667,3.96,3.14,0.311089776495563,
1,2,4,1,0,0,0.85,0.17,0.0833333333333333,3,2,4,2,0.533333333333333,2.25,1.1,0.235736652236652,7,7,11,9,0.521052631578947,4.55,2.95,0.297100524539327,
1,2,5,0,0,0,0.94,0.25,0.13,3,3,3,3,0.6,2.23,1.15,0.228019480519481,4,5,7,8,0.533333333333333,3.85,1.86,0.261486575515987,
1,3,1,1,0,0,0.87,0.19,0.0833333333333333,1,0,2,0,0,1.73,1.09,0.236489177489178,2,0,4,0,0,3.59,2.57,0.29165041511636,
1,3,2,1,0,0,0.66,0.22,0.09,4,0,5,0,0,2.25,1.02,0.232978354978355,3,2,8,2,0.355555555555556,4.7,2.99,0.295910101246923,
1,3,3,0,0,0,0,0,0,1,2,1,2,0.666666666666667,2.35,1.23,0.30402380952381,4,5,5,7,0.53030303030303,7.14,5.3,0.425450577973462,
1,3,4,2,0,0,0.61,0.21,0.0566666666666667,4,2,6,2,0.428571428571429,2.18,1.26,0.260072871572872,5,0,11,2,0.282051282051282,4.48,2.98,0.295881950033485,
1,3,5,1,1,1,0.71,0.21,0.08,1,2,2,4,0.533333333333333,2.15,1.09,0.264833333333333,1,2,3,5,0.535714285714286,4.71,3,0.311596586148181,
1,4,1,0,0,0,0.74,0.15,0.05,1,0,1,0,0,2.03,0.95,0.227864357864358,1,1,2,1,0.666666666666667,4.22,2.58,0.305232267819598,
1,4,2,1,0,0,0.7,0.23,0.08,0,0,1,0,0,2.26,1.05,0.254565656565657,0,0,1,0,0,4.91,2.91,0.322285323294739,
1,4,3,0,0,0,0.78,0.21,0.1,1,1,1,1,1,2.02,1.1,0.255404761904762,0,1,1,2,0.666666666666667,4.61,2.83,0.324992792896818,
1,4,4,0,0,0,0,0,0,1,2,1,2,0.666666666666667,2.12,1.13,0.245174603174603,3,2,4,4,0.571428571428571,7.01,5.08,0.40673533683603,
1,4,5,0,1,0,0.69,0.19,0.0733333333333333,0,0,0,1,0,2.21,1.1,0.290551226551227,3,2,3,3,0.6,5.09,3.01,0.301960007962953,
1,5,1,0,0,0,0.79,0.19,0.0833333333333333,0,0,0,0,0,2.1,0.84,0.198222222222222,2,0,2,0,0,4.56,2.84,0.31081607894506,
1,5,2,0,0,0,0.85,0.18,0.09,2,0,2,0,0,2.4,1.4,0.319870851370852,0,0,2,0,0,4.37,2.59,0.303100279716843,
1,5,3,0,0,0,0.74,0.23,0.07,0,0,0,0,0,2.4,1.24,0.31001443001443,2,2,2,2,0.666666666666667,4.51,2.99,0.329676070491779,
1,5,4,2,0,0,0.81,0.18,0.0633333333333333,0,0,2,0,0,2.32,1.06,0.252978354978355,0,0,2,0,0,4.87,2.72,0.284293892320559,
1,5,5,0,0,0,0,0,0,0,2,0,2,0,2.41,1.05,0.29918253968254,0,0,0,2,0,7.92,5.12,0.42998566350577,
